101,Натхнення з Біблії,Заповіді блаженства,https://www.youtube.com/watch?v=I4uYTbAuKw4,НБ1 Відео. Заповіді блаженства
102,Натхнення з Біблії,Убивця велетня,https://www.youtube.com/watch?v=SGz40-nf_rk,НБ2 Відео. Убивця велетня
103,Натхнення з Біблії,Таємне служіння Ісуса,https://www.youtube.com/watch?v=zZhlI5IrhAQ,НБ3 Відео. Таємне служіння Ісуса
104,Натхнення з Біблії,Християнин як трубопровід,https://www.youtube.com/watch?v=kZZxHwTsOlI,НБ4 Відео. Християнин як трубопровід
105,Натхнення з Біблії,Десятина вашого часу,https://www.youtube.com/watch?v=q3WV-KDfrag,НБ5 Відео. Десятина вашого часу
106,Натхнення з Біблії,Налаштованість на подяку,https://www.youtube.com/watch?v=nBEQ5MQMqJk,НБ6 Відео. Налаштованість на подяку
107,Натхнення з Біблії,"Те, чого Бог бажає найбільше",https://www.youtube.com/watch?v=LbQY68DoAXU,"НБ7 Відео. Те, чого Бог бажає найбільше"
108,Натхнення з Біблії,Ставати схожим на Ісуса,https://www.youtube.com/watch?v=u7wZJFB-zYE,НБ8 Відео. Ставати схожим на Ісуса
109,Натхнення з Біблії,Учитися давати,https://www.youtube.com/watch?v=CNQQ0ueY4Sw,НБ9 Відео. Учитися давати
110,Натхнення з Біблії,Наші мінуси — це Божі плюси,https://www.youtube.com/watch?v=H3kBpIxL0YM,НБ10 Відео. Наші мінуси — це Божі плюси
111,Натхнення з Біблії,Чому побожні страждають,https://www.youtube.com/watch?v=OPII4O4_EHo,НБ11 Відео. Чому побожні страждають
112,Натхнення з Біблії,Сім кроків під час критики,https://www.youtube.com/watch?v=02t9TmpbP34,НБ12 Відео. Сім кроків під час критики
113,Натхнення з Біблії,Хвала — це динаміт,https://www.youtube.com/watch?v=_LgOsd-WRxc,НБ13 Відео. Хвала — це динаміт
114,Натхнення з Біблії,Різдво щодня — заплановане прощення,https://www.youtube.com/watch?v=D60bPL8K8RU,НБ14 Відео. Різдво щодня — заплановане прощення
115,Натхнення з Біблії,Переконання та уподобання,https://www.youtube.com/watch?v=jzM2AK7cPQY,НБ15 Відео. Переконання та уподобання
116,Натхнення з Біблії,Чи слуга ви,https://www.youtube.com/watch?v=5ouMimUE61s,НБ16 Відео. Чи слуга ви
117,Натхнення з Біблії,Правдива служба,https://www.youtube.com/watch?v=WmQK_POeeEs,НБ17 Відео. Правдива служба
118,Натхнення з Біблії,Ключ до служби,https://www.youtube.com/watch?v=CslcAXnzuAE,НБ18 Відео. Ключ до служби
119,Натхнення з Біблії,Упокорення,https://www.youtube.com/watch?v=5OOdK2dgeD8,НБ19 Відео. Упокорення
